label,depth,bare_weight,delocalized_weight,odd_slope_abs,phase_error
D35,3.5,0.9678783777765443,0.032121622223455715,0.9630041462719219,0.03699585372807812
D40,4.0,0.976573781086106,0.02342621891389396,0.9735108633262304,0.02648913667376962
D45,4.5,0.9820960739574603,0.017903926042539653,0.9802344678804655,0.019765532119534468
D50,5.0,0.9858384648836712,0.014161535116328783,0.9847834660779794,0.015216533922020603
D60,6.0,0.990465109131637,0.00953489086836301,0.9903961194917013,0.009603880508298746
