depth,sigma_min,sigma_max,leak_worst,unitarity_frob_max,odd_phase,odd_slope,odd_offdiag_norm,favg_target,phase_error
3.5,0.9999665767092901,0.9999756789147369,6.684546430335558e-05,8.647558220765646e-05,-0.28890124388157656,-0.9630041462719219,6.780122653399399e-07,0.9999794698126986,0.03699585372807812
4.0,0.9999467960857265,0.9999658517216738,0.00010640499789060787,0.00012735332452547236,-0.2920532589978691,-0.9735108633262304,7.17618030605414e-07,0.9999894749397912,0.02648913667376962
4.5,0.9998966558143879,0.9999608966218548,0.0002066776912035273,0.0002284720619339443,-0.29407034036413965,-0.9802344678804655,3.7784936280059576e-08,0.9999941398732707,0.019765532119534468
5.0,0.9997673791669334,0.99994128346082,0.00046518755368130105,0.0004892368801546667,-0.2954350398233938,-0.9847834660779794,1.0860180448721033e-07,0.9999965268624581,0.015216533922020603
6.0,0.9990195962321985,0.9999020711883171,0.001959846344055105,0.0019720120455526805,-0.29711883584751037,-0.9903961194917013,6.752271121057444e-08,0.9999986164831433,0.009603880508298746
