label,theta,dt,T,R,sigma_min,sigma_max,leak_worst,leak_avg_max,unitarity_frob_max,odd_phase,odd_slope,odd_offdiag_norm,favg_target
dt0.50_R4_th0.3,0.3,0.5,20000.0,4.0,0.9990425546366938,0.9992470444281167,0.0019139740249887183,0.0017421195317102178,0.0024756875528330453,-0.30058785144529276,-1.0019595048176426,7.410858064476231e-06,0.9999999423868076
dt0.25_R4_th0.3,0.3,0.25,20000.0,4.0,0.9999531171519124,0.9999624627296261,9.376349817380447e-05,8.73709114406207e-05,0.0001238097916529913,-0.29892775066405464,-0.9964258355468488,1.3377546488569087e-06,0.9999998083796489
dt0.125_R4_th0.3,0.3,0.125,20000.0,4.0,0.9999972105882584,0.9999979638697736,5.578815702400597e-06,4.900679528740959e-06,6.9609647850469896e-06,-0.29842425026246905,-0.9947475008748968,6.82919843025852e-08,0.9999995861688781
dt0.25_R4_th0.6,0.6,0.25,20000.0,4.0,0.999952336488494,0.9999649754675701,9.532475120166417e-05,9.167742180449245e-05,0.00012974371172080605,-0.5903653419626954,-0.9839422366044924,9.898488660915347e-07,0.9999845290134347
dt0.25_R4_th0.9,0.9,0.25,20000.0,4.0,0.9999525623840473,0.9999646465892879,9.487298157806467e-05,8.928706689281807e-05,0.00012651784662404746,-0.8829822201080404,-0.9810913556756005,7.193008213623108e-07,0.9999517336926155
dt0.25_R6_th0.3,0.3,0.25,20000.0,6.0,0.9999578828995772,0.9999637872876348,8.42324269954009e-05,8.199210947623659e-05,0.00011599762962191657,-0.29215825427431324,-0.9738608475810442,5.721383326727077e-07,0.9999897512230724
