theta,odd_ex,odd_rt,dphi,ideal,error
0.3,-0.2962,-0.0048499999999999654,-0.29135000000000005,-0.3,0.008649999999999936
0.6,-0.5940926535897929,-0.006249999999999998,-0.5878426535897929,-0.6,0.012157346410207048
0.9,-0.8930500000000001,-0.009700000000000042,-0.8833500000000001,-0.9,0.016649999999999943
