process,theta,profile,eta,Trec,nseg,left_capture,right_admixture,logical_capture,leakage,left_phase
roundtrip,0.3,overlap,0.35,4800.0,1200,0.015667173749702393,0.0010147701588390343,0.016681943908541427,0.9833180560914586,-1.476769573032687
roundtrip,0.3,linear,0.0,4800.0,1200,0.01129410043127325,0.002094103374609608,0.013388203805882858,0.9866117961941171,0.7095838286201936
roundtrip,0.3,overlap,0.2,1200.0,300,0.009685167271909453,0.0019704380784663017,0.011655605350375756,0.9883443946496242,-0.5838114664629104
roundtrip,0.3,overlap,0.45,2400.0,600,0.004290821986908604,0.005549070730785332,0.009839892717693935,0.9901601072823061,-0.6539688584429495
roundtrip,0.3,linear,0.0,1200.0,300,0.0077686607653647335,0.0016163779437332743,0.009385038709098008,0.990614961290902,-2.3228491989604323
roundtrip,0.3,sin2,0.0,1200.0,300,0.005390511432939142,0.0031656063091499136,0.008556117742089055,0.9914438822579109,-1.8514903159024882
roundtrip,0.3,overlap,0.45,4800.0,1200,7.523192516700621e-05,0.007095645655306885,0.007170877580473892,0.9928291224195261,-0.10029987166874514
roundtrip,0.3,overlap,0.2,4800.0,1200,0.006046865999390365,0.00031651573989472835,0.006363381739285094,0.9936366182607149,-2.864555130753918
roundtrip,0.3,linear,0.0,2400.0,600,0.003974440930338864,0.002309208498748729,0.006283649429087593,0.9937163505709125,2.0924954745655158
roundtrip,0.3,overlap,0.45,1200.0,300,0.003687128593403631,0.002320107408811025,0.006007236002214656,0.9939927639977854,-0.8268328933155337
roundtrip,0.3,overlap,0.2,2400.0,600,0.004753368012069921,0.0009065708792179336,0.005659938891287854,0.9943400611087121,-0.866228153753149
roundtrip,0.3,overlap,0.35,1200.0,300,0.0020220785709519845,0.0023601138283408643,0.004382192399292849,0.9956178076007072,2.6293745659867858
roundtrip,0.3,overlap,0.35,2400.0,600,4.381658081428012e-06,0.003115228002710872,0.0031196096607923,0.9968803903392077,0.14679506337478324
roundtrip,0.3,sin2,0.0,2400.0,600,0.0012101240927930022,0.0004957886639574455,0.0017059127567504476,0.9982940872432495,3.0926870489076257
roundtrip,0.3,sin2,0.0,4800.0,1200,0.0003489952015633237,0.0004619711194782537,0.0008109663210415774,0.9991890336789584,1.0596446148378575
